Symbol,Inside Bar,Double top/bottom,Head and Shoulders,VShape
NSE:PRINCEPIPE-EQ,1,0,0,0
NSE:PRSMJOHNSN-EQ,0,0,0,0
NSE:PSB-EQ,2,0,0,0
NSE:QUESS-EQ,2,0,0,0
NSE:RADICO-EQ,1,0,0,0
NSE:RAIN-EQ,0,0,0,0
NSE:RAJESHEXPO-EQ,1,0,0,0
NSE:RALLIS-EQ,1,0,0,0
NSE:RAMCOSYS-EQ,0,0,0,0
NSE:RATNAMANI-EQ,1,0,0,0
NSE:RAYMOND-EQ,1,0,0,0
NSE:RBLBANK-EQ,0,0,0,0
NSE:RCF-EQ,0,0,0,0
NSE:RECLTD-EQ,0,0,0,0
NSE:RELAXO-EQ,1,0,0,0
NSE:RELIANCE-EQ,1,0,0,0
NSE:ROSSARI-EQ,0,0,0,0
NSE:RVNL-EQ,1,0,0,0
NSE:SAFARI-EQ,3,0,0,1
NSE:SAIL-EQ,1,0,0,0
NSE:SANOFI-EQ,2,0,0,0
NSE:SBICARD-EQ,0,0,0,0
NSE:SBILIFE-EQ,1,0,0,1
NSE:SBIN-EQ,0,0,0,0
NSE:SHOPERSTOP-EQ,1,0,0,0
NSE:SHREECEM-EQ,0,1,0,0
NSE:SHRIRAMFIN-EQ,1,0,0,0
NSE:SIEMENS-EQ,0,0,0,1
NSE:SJVN-EQ,0,0,0,0
NSE:SOBHA-EQ,0,0,0,0
NSE:SONACOMS-EQ,0,0,0,0
NSE:SRF-EQ,1,0,0,1
NSE:SUNDRMFAST-EQ,2,0,0,0
NSE:SUNPHARMA-EQ,0,0,0,0
NSE:SUNTV-EQ,1,0,0,0
NSE:SUPRAJIT-EQ,1,0,0,0
NSE:SUPREMEIND-EQ,0,0,0,0
NSE:SUTLEJTEX-EQ,1,0,0,0
NSE:SUZLON-EQ,4,0,0,0
NSE:SYNGENE-EQ,0,0,0,0
NSE:TATACHEM-EQ,0,0,0,0
NSE:TATACOMM-EQ,0,0,0,0
NSE:TATACONSUM-EQ,0,0,0,1
NSE:TATAELXSI-EQ,0,0,0,0
NSE:TATAMOTORS-EQ,0,0,1,0
NSE:TATAMTRDVR-EQ,0,0,0,0
NSE:TATAPOWER-EQ,1,0,0,0
NSE:TATASTEEL-EQ,0,0,0,0
NSE:TATATECH-EQ,1,0,0,0
NSE:TCS-EQ,1,0,0,0
NSE:TEAMLEASE-EQ,1,0,0,0
NSE:TECHM-EQ,2,0,0,0
NSE:THANGAMAYL-EQ,1,0,0,0
NSE:THERMAX-EQ,2,0,0,1
NSE:TIINDIA-EQ,1,0,0,0
NSE:TITAN-EQ,0,0,0,0
NSE:TORNTPHARM-EQ,0,0,0,0
NSE:TORNTPOWER-EQ,1,0,0,0
NSE:TRENT-EQ,1,0,0,0
NSE:TRIVENI-EQ,0,0,0,0
NSE:TTML-EQ,2,0,0,0
NSE:TV18BRDCST-EQ,0,0,0,0
NSE:TVSMOTOR-EQ,1,0,0,0
NSE:UBL-EQ,1,0,0,1
NSE:UCOBANK-EQ,1,0,0,0
NSE:ULTRACEMCO-EQ,2,0,0,0
NSE:UNIONBANK-EQ,0,0,0,0
NSE:UNITDSPR-EQ,0,0,0,0
NSE:UPL-EQ,1,0,0,0
NSE:UTIAMC-EQ,0,0,0,0
NSE:VAIBHAVGBL-EQ,0,0,0,0
NSE:VARROC-EQ,1,0,0,0
NSE:VBL-EQ,0,0,0,0
NSE:VEDL-EQ,0,0,0,0
NSE:VIPIND-EQ,1,0,0,0
NSE:VOLTAS-EQ,0,0,0,0
NSE:WELCORP-EQ,1,1,0,0
NSE:WHIRLPOOL-EQ,1,0,0,0
NSE:WIPRO-EQ,2,0,0,0
NSE:WOCKPHARMA-EQ,0,0,0,0
NSE:YESBANK-EQ,0,0,0,0
NSE:ZEEL-EQ,0,0,0,0
NSE:ZOMATO-EQ,1,0,0,0
NSE:ZYDUSLIFE-EQ,2,0,1,0
NSE:ZYDUSWELL-EQ,1,0,0,0
